Searched Name,Company Number,Registered Name,Confidence,Status,Confidence Level,Companies House URL,,,,,,,,,,Searched Name,Confidence,Compnay Number,,URL,Companies House
Oxalis Logistics UK Ltd,01164085,OXALIS LOGISTICS UK LIMITED,95.00%,active,High,https://find-and-update.company-information.service.gov.uk/company/01164085,,,,,,,,,,,,,,,
Oxalis Logistics UK Ltd,14393197,OXALIS LIMITED,30.00%,active,Low,https://find-and-update.company-information.service.gov.uk/company/14393197,,,,,,,,,,,,,,,
Post Office Limited,02154540,POST OFFICE LIMITED,98.00%,active,High,https://find-and-update.company-information.service.gov.uk/company/02154540,,,,,,,,,,,,,,,
Post Office Limited,IP12127R,POST OFFICE EMPLOYEES SOCIAL CLUB AND INSTITUTE LIMITED,30.00%,active,Low,https://find-and-update.company-information.service.gov.uk/company/IP12127R,,,,,,,,,,,,,,,
Post Office Limited,01025720,POST OFFICE LANE (FLAX BOURTON) MANAGEMENT COMPANY LIMITED,28.00%,active,Low,https://find-and-update.company-information.service.gov.uk/company/01025720,,,,,,,,,,,,,,,
Regroup (UK) Limited,04452627,REGROUP (UK) LIMITED,98.00%,active,High,https://find-and-update.company-information.service.gov.uk/company/04452627,,,,,,,,,,,,,,,
Regroup (UK) Limited,13800577,ORCHARD REGROUP LTD.,45.00%,active,Low,https://find-and-update.company-information.service.gov.uk/company/13800577,,,,,,,,,,,,,,,
Regroup (UK) Limited,16000005,REGROUP CORPORATION LIMITED,28.00%,dissolved,Low,https://find-and-update.company-information.service.gov.uk/company/16000005,,,,,,,,,,,,,,,
Selwyns Travel Ltd,01385533,SELWYNS TRAVEL LIMITED,95.00%,active,High,https://find-and-update.company-information.service.gov.uk/company/01385533,,,,,,,,,,,,,,,
Stalkers Transport Services Ltd,01941795,STALKERS TRANSPORT SERVICES LTD,100.00%,active,High,https://find-and-update.company-information.service.gov.uk/company/01941795,,,,,,,,,,,,,,,
Stalkers Transport Services Ltd,SC423131,STALKER'S HAIR STUDIO LIMITED,25.00%,active,Low,https://find-and-update.company-information.service.gov.uk/company/SC423131,,,,,,,,,,,,,,,
Stephensons of Essex Limited,01815977,STEPHENSONS OF ESSEX LIMITED,100.00%,active,High,https://find-and-update.company-information.service.gov.uk/company/01815977,,,,,,,,,,,,,,,
Stephensons of Essex Ltd,01815977,STEPHENSONS OF ESSEX LIMITED,98.00%,active,High,https://find-and-update.company-information.service.gov.uk/company/01815977,,,,,,,,,,,,,,,
Stephensons of Essex Ltd,14408994,STEPHENSONS OF ESSEX TRAVEL LIMITED,35.00%,dissolved,Low,https://find-and-update.company-information.service.gov.uk/company/14408994,,,,,,,,,,,,,,,
Your NRG,06263424,YOUR NRG LTD,98.00%,active,High,https://find-and-update.company-information.service.gov.uk/company/06263424,,,,,,,,,,,,,,,
Your NRG,06935721,YOURNRG LTD,90.00%,dissolved,High,https://find-and-update.company-information.service.gov.uk/company/06935721,,,,,,,,,,,,,,,
